role,champion_1,champion_2,duel_winrate,duel_games
BOTTOM,Jhin,Varus,0.5454545454545454,88
JUNGLE,Skarner,Morgana,0.4,5
JUNGLE,Morgana,Skarner,0.6,5
MIDDLE,Aurora,Yone,0.5869565217391305,46
MIDDLE,Yone,Aurora,0.41304347826086957,46
TOP,Sion,Trundle,0.4,5
TOP,Trundle,Sion,0.6,5
UTILITY,Janna,Elise,0.7058823529411765,17
UTILITY,Elise,Janna,0.29411764705882354,17
BOTTOM,Swain,Ezreal,0.6153846153846154,39
BOTTOM,Ezreal,Swain,0.38461538461538464,39
JUNGLE,MonkeyKing,Ivern,0.4,5
JUNGLE,Ivern,MonkeyKing,0.6,5
MIDDLE,Yasuo,Akshan,0.5925925925925926,27
MIDDLE,Akshan,Yasuo,0.4074074074074074,27
TOP,Malzahar,Heimerdinger,1.0,1
TOP,Heimerdinger,Malzahar,0.0,1
UTILITY,Seraphine,Rell,0.5,64
UTILITY,Rell,Seraphine,0.5,64
BOTTOM,Caitlyn,Ashe,0.5267857142857143,112
BOTTOM,Ashe,Caitlyn,0.4732142857142857,112
JUNGLE,Sylas,Vi,0.4,25
JUNGLE,Vi,Sylas,0.6,25
MIDDLE,Aurora,Corki,0.6666666666666666,6
MIDDLE,Corki,Aurora,0.3333333333333333,6
TOP,Gnar,Vladimir,0.5,8
TOP,Vladimir,Gnar,0.5,8
UTILITY,Pyke,Lulu,0.48,50
UTILITY,Lulu,Pyke,0.52,50
JUNGLE,Diana,Skarner,0.625,8
JUNGLE,Skarner,Diana,0.375,8
MIDDLE,Tryndamere,Gragas,0.0,1
MIDDLE,Gragas,Tryndamere,1.0,1
TOP,Yorick,Irelia,0.3888888888888889,18
TOP,Irelia,Yorick,0.6111111111111112,18
UTILITY,Nami,Rell,0.43661971830985913,71
UTILITY,Rell,Nami,0.5633802816901409,71
BOTTOM,Ashe,Kaisa,0.44285714285714284,70
BOTTOM,Kaisa,Ashe,0.5571428571428572,70
JUNGLE,FiddleSticks,Diana,1.0,3
JUNGLE,Diana,FiddleSticks,0.0,3
MIDDLE,Annie,Smolder,1.0,5
MIDDLE,Smolder,Annie,0.0,5
TOP,Vladimir,Akali,0.7142857142857143,7
TOP,Akali,Vladimir,0.2857142857142857,7
UTILITY,Janna,Maokai,0.2727272727272727,11
UTILITY,Maokai,Janna,0.7272727272727273,11
BOTTOM,Corki,KogMaw,0.4,10
BOTTOM,KogMaw,Corki,0.6,10
JUNGLE,MonkeyKing,RekSai,0.5714285714285714,14
JUNGLE,RekSai,MonkeyKing,0.42857142857142855,14
MIDDLE,Gragas,Velkoz,0.0,2
MIDDLE,Velkoz,Gragas,1.0,2
TOP,Aatrox,Cassiopeia,0.625,8
TOP,Cassiopeia,Aatrox,0.375,8
UTILITY,Janna,Lulu,0.5714285714285714,84
UTILITY,Lulu,Janna,0.42857142857142855,84
BOTTOM,Kalista,Draven,0.3783783783783784,37
BOTTOM,Draven,Kalista,0.6216216216216216,37
JUNGLE,LeeSin,Kayn,0.5909090909090909,22
JUNGLE,Kayn,LeeSin,0.4090909090909091,22
MIDDLE,Azir,Aurora,0.3076923076923077,13
MIDDLE,Aurora,Azir,0.6923076923076923,13
TOP,Tristana,Malphite,0.3333333333333333,3
TOP,Malphite,Tristana,0.6666666666666666,3
UTILITY,Nautilus,Zilean,0.5238095238095238,42
UTILITY,Zilean,Nautilus,0.47619047619047616,42
BOTTOM,Gragas,Ezreal,0.0,1
BOTTOM,Ezreal,Gragas,1.0,1
JUNGLE,Udyr,Lillia,0.46153846153846156,13
JUNGLE,Lillia,Udyr,0.5384615384615384,13
MIDDLE,Ambessa,Swain,0.5,2
MIDDLE,Swain,Ambessa,0.5,2
TOP,Kled,Yone,0.0,2
TOP,Yone,Kled,1.0,2
UTILITY,Nami,Senna,0.5116279069767442,86
UTILITY,Senna,Nami,0.4883720930232558,86
BOTTOM,Karthus,Jhin,0.475,40
BOTTOM,Jhin,Karthus,0.525,40
JUNGLE,Volibear,Udyr,0.0,2
JUNGLE,Udyr,Volibear,1.0,2
MIDDLE,Aurora,Sylas,0.5384615384615384,39
MIDDLE,Sylas,Aurora,0.46153846153846156,39
TOP,Irelia,Kled,0.42857142857142855,7
TOP,Kled,Irelia,0.5714285714285714,7
UTILITY,Thresh,Soraka,0.46808510638297873,47
UTILITY,Soraka,Thresh,0.5319148936170213,47
BOTTOM,Ziggs,Corki,0.5714285714285714,7
BOTTOM,Corki,Ziggs,0.42857142857142855,7
JUNGLE,Warwick,Udyr,1.0,2
JUNGLE,Udyr,Warwick,0.0,2
MIDDLE,Swain,Hwei,0.6,5
MIDDLE,Hwei,Swain,0.4,5
TOP,Ambessa,Jax,0.5142857142857142,35
TOP,Jax,Ambessa,0.4857142857142857,35
UTILITY,Skarner,TahmKench,1.0,1
UTILITY,TahmKench,Skarner,0.0,1
BOTTOM,Jinx,Xayah,0.6,15
BOTTOM,Xayah,Jinx,0.4,15
JUNGLE,Udyr,Graves,0.5,24
JUNGLE,Graves,Udyr,0.5,24
MIDDLE,Aurora,Zac,1.0,2
MIDDLE,Zac,Aurora,0.0,2
TOP,Shen,Gragas,0.7333333333333333,15
TOP,Gragas,Shen,0.26666666666666666,15
UTILITY,Nautilus,Rell,0.4864864864864865,222
UTILITY,Rell,Nautilus,0.5135135135135135,222
BOTTOM,Ashe,Ezreal,0.5567375886524822,282
BOTTOM,Ezreal,Ashe,0.4432624113475177,282
JUNGLE,MonkeyKing,Nocturne,0.5454545454545454,22
JUNGLE,Nocturne,MonkeyKing,0.45454545454545453,22
MIDDLE,Akali,Sylas,0.49019607843137253,51
MIDDLE,Sylas,Akali,0.5098039215686274,51
TOP,Renekton,Aurora,0.4838709677419355,31
TOP,Aurora,Renekton,0.5161290322580645,31
BOTTOM,Caitlyn,KogMaw,0.5882352941176471,34
BOTTOM,KogMaw,Caitlyn,0.4117647058823529,34
MIDDLE,Sylas,Ambessa,0.625,8
MIDDLE,Ambessa,Sylas,0.375,8
TOP,Gangplank,Warwick,0.5714285714285714,7
TOP,Warwick,Gangplank,0.42857142857142855,7
UTILITY,Janna,FiddleSticks,0.5,6
UTILITY,FiddleSticks,Janna,0.5,6
BOTTOM,Kaisa,Yasuo,0.3333333333333333,21
BOTTOM,Yasuo,Kaisa,0.6666666666666666,21
JUNGLE,Khazix,XinZhao,0.5384615384615384,39
JUNGLE,XinZhao,Khazix,0.46153846153846156,39
MIDDLE,Galio,Ahri,0.5121951219512195,41
MIDDLE,Ahri,Galio,0.4878048780487805,41
TOP,Jax,Poppy,0.5,8
TOP,Poppy,Jax,0.5,8
UTILITY,Rakan,Nami,0.32432432432432434,74
UTILITY,Nami,Rakan,0.6756756756756757,74
BOTTOM,Corki,Lucian,0.4117647058823529,51
BOTTOM,Lucian,Corki,0.5882352941176471,51
JUNGLE,Graves,Skarner,0.47619047619047616,42
JUNGLE,Skarner,Graves,0.5238095238095238,42
MIDDLE,Sylas,Vex,0.38461538461538464,13
MIDDLE,Vex,Sylas,0.6153846153846154,13
TOP,Maokai,Aurora,0.5,4
TOP,Aurora,Maokai,0.5,4
UTILITY,Lulu,Nami,0.48704663212435234,193
UTILITY,Nami,Lulu,0.5129533678756477,193
BOTTOM,Kalista,Jinx,0.43333333333333335,30
BOTTOM,Jinx,Kalista,0.5666666666666667,30
JUNGLE,Skarner,Karthus,0.6,5
JUNGLE,Karthus,Skarner,0.4,5
MIDDLE,Yasuo,Smolder,0.5,2
MIDDLE,Smolder,Yasuo,0.5,2
TOP,Bard,Renekton,1.0,1
TOP,Renekton,Bard,0.0,1
UTILITY,Vex,Thresh,1.0,1
UTILITY,Thresh,Vex,0.0,1
BOTTOM,Jhin,Ashe,0.3865546218487395,119
BOTTOM,Ashe,Jhin,0.6134453781512605,119
JUNGLE,LeeSin,Shyvana,0.5714285714285714,21
JUNGLE,Shyvana,LeeSin,0.42857142857142855,21
MIDDLE,Velkoz,Qiyana,0.5,4
MIDDLE,Qiyana,Velkoz,0.5,4
TOP,Ambessa,Renekton,0.4891304347826087,92
TOP,Renekton,Ambessa,0.5108695652173914,92
UTILITY,Milio,Swain,0.6666666666666666,3
UTILITY,Swain,Milio,0.3333333333333333,3
BOTTOM,Ezreal,Jhin,0.4781144781144781,297
BOTTOM,Jhin,Ezreal,0.5218855218855218,297
JUNGLE,Graves,Zac,0.45454545454545453,11
JUNGLE,Zac,Graves,0.5454545454545454,11
MIDDLE,Kassadin,Sylas,0.47058823529411764,17
MIDDLE,Sylas,Kassadin,0.5294117647058824,17
TOP,Gnar,Malphite,0.42857142857142855,49
TOP,Malphite,Gnar,0.5714285714285714,49
UTILITY,Zoe,Rell,0.2,5
UTILITY,Rell,Zoe,0.8,5
BOTTOM,Corki,Velkoz,0.125,8
BOTTOM,Velkoz,Corki,0.875,8
JUNGLE,MonkeyKing,Viego,0.4166666666666667,36
JUNGLE,Viego,MonkeyKing,0.5833333333333334,36
TOP,KSante,Gwen,0.47619047619047616,21
TOP,Gwen,KSante,0.5238095238095238,21
BOTTOM,Seraphine,Kalista,0.29411764705882354,17
BOTTOM,Kalista,Seraphine,0.7058823529411765,17
JUNGLE,Talon,Karthus,0.5833333333333334,12
JUNGLE,Karthus,Talon,0.4166666666666667,12
MIDDLE,Orianna,Ambessa,0.5,4
MIDDLE,Ambessa,Orianna,0.5,4
TOP,Gangplank,Lucian,0.5,4
TOP,Lucian,Gangplank,0.5,4
UTILITY,Lulu,Zac,0.6666666666666666,3
UTILITY,Zac,Lulu,0.3333333333333333,3
BOTTOM,Draven,Caitlyn,0.4807692307692308,104
BOTTOM,Caitlyn,Draven,0.5192307692307693,104
JUNGLE,MonkeyKing,Taliyah,0.42857142857142855,7
JUNGLE,Taliyah,MonkeyKing,0.5714285714285714,7
MIDDLE,Katarina,Yasuo,0.525,40
MIDDLE,Yasuo,Katarina,0.475,40
TOP,Renekton,Malphite,0.46153846153846156,26
TOP,Malphite,Renekton,0.5384615384615384,26
UTILITY,Nautilus,Lulu,0.55,180
UTILITY,Lulu,Nautilus,0.45,180
BOTTOM,Aphelios,Ashe,0.45161290322580644,31
BOTTOM,Ashe,Aphelios,0.5483870967741935,31
JUNGLE,Nidalee,Viego,0.6363636363636364,33
JUNGLE,Viego,Nidalee,0.36363636363636365,33
MIDDLE,Veigar,Lux,0.3333333333333333,3
MIDDLE,Lux,Veigar,0.6666666666666666,3
TOP,Renekton,KSante,0.4864864864864865,37
TOP,KSante,Renekton,0.5135135135135135,37
UTILITY,Bard,Lulu,0.4329268292682927,164
UTILITY,Lulu,Bard,0.5670731707317073,164
BOTTOM,Ashe,Corki,0.5892857142857143,56
BOTTOM,Corki,Ashe,0.4107142857142857,56
JUNGLE,Nocturne,Karthus,0.65,20
JUNGLE,Karthus,Nocturne,0.35,20
TOP,Yasuo,Urgot,0.3333333333333333,9
TOP,Urgot,Yasuo,0.6666666666666666,9
JUNGLE,Khazix,Lillia,0.625,16
JUNGLE,Lillia,Khazix,0.375,16
UTILITY,Seraphine,Leona,0.6,30
UTILITY,Leona,Seraphine,0.4,30
BOTTOM,Ezreal,Yasuo,0.40298507462686567,67
BOTTOM,Yasuo,Ezreal,0.5970149253731343,67
JUNGLE,Kindred,Elise,0.5555555555555556,9
JUNGLE,Elise,Kindred,0.4444444444444444,9
MIDDLE,Galio,Darius,0.5,2
MIDDLE,Darius,Galio,0.5,2
TOP,Akali,Leblanc,0.3333333333333333,3
TOP,Leblanc,Akali,0.6666666666666666,3
UTILITY,Bard,Senna,0.5407407407407407,135
UTILITY,Senna,Bard,0.45925925925925926,135
BOTTOM,Draven,Hwei,0.5294117647058824,17
BOTTOM,Hwei,Draven,0.47058823529411764,17
JUNGLE,Udyr,Zac,0.75,4
JUNGLE,Zac,Udyr,0.25,4
TOP,Gwen,Fiora,0.6666666666666666,6
TOP,Fiora,Gwen,0.3333333333333333,6
UTILITY,Thresh,Blitzcrank,0.5283018867924528,53
UTILITY,Blitzcrank,Thresh,0.4716981132075472,53
BOTTOM,Varus,Ashe,0.45,60
BOTTOM,Ashe,Varus,0.55,60
JUNGLE,Vi,Skarner,0.5333333333333333,15
JUNGLE,Skarner,Vi,0.4666666666666667,15
TOP,Nidalee,Aurora,0.5,2
TOP,Aurora,Nidalee,0.5,2
UTILITY,Lulu,TahmKench,0.3333333333333333,6
UTILITY,TahmKench,Lulu,0.6666666666666666,6
JUNGLE,Elise,MonkeyKing,0.2,5
JUNGLE,MonkeyKing,Elise,0.8,5
MIDDLE,Qiyana,Galio,0.3,10
MIDDLE,Galio,Qiyana,0.7,10
TOP,Aatrox,Swain,1.0,2
TOP,Swain,Aatrox,0.0,2
UTILITY,Teemo,Rakan,1.0,1
UTILITY,Rakan,Teemo,0.0,1
JUNGLE,Udyr,MonkeyKing,0.2857142857142857,7
JUNGLE,MonkeyKing,Udyr,0.7142857142857143,7
MIDDLE,Velkoz,Hwei,0.5,4
MIDDLE,Hwei,Velkoz,0.5,4
TOP,Ambessa,Fiora,0.3333333333333333,18
TOP,Fiora,Ambessa,0.6666666666666666,18
BOTTOM,Draven,Veigar,0.6666666666666666,6
BOTTOM,Veigar,Draven,0.3333333333333333,6
JUNGLE,Vi,Ambessa,0.6216216216216216,37
JUNGLE,Ambessa,Vi,0.3783783783783784,37
MIDDLE,Galio,Leblanc,0.48717948717948717,39
MIDDLE,Leblanc,Galio,0.5128205128205128,39
TOP,Camille,Shen,0.5333333333333333,15
TOP,Shen,Camille,0.4666666666666667,15
BOTTOM,Kaisa,Smolder,0.5573770491803278,61
BOTTOM,Smolder,Kaisa,0.4426229508196721,61
MIDDLE,Orianna,Velkoz,0.25,4
MIDDLE,Velkoz,Orianna,0.75,4
TOP,Gnar,Irelia,0.3333333333333333,33
TOP,Irelia,Gnar,0.6666666666666666,33
BOTTOM,Ezreal,Corki,0.5234899328859061,149
BOTTOM,Corki,Ezreal,0.47651006711409394,149
JUNGLE,Skarner,Lillia,0.5,16
JUNGLE,Lillia,Skarner,0.5,16
TOP,Gragas,Tryndamere,0.4,10
TOP,Tryndamere,Gragas,0.6,10
UTILITY,Leona,Renata,0.6666666666666666,12
UTILITY,Renata,Leona,0.3333333333333333,12
BOTTOM,Aphelios,Ezreal,0.5555555555555556,63
BOTTOM,Ezreal,Aphelios,0.4444444444444444,63
JUNGLE,Elise,Vi,0.4375,16
JUNGLE,Vi,Elise,0.5625,16
MIDDLE,Ambessa,Aurora,0.5,6
MIDDLE,Aurora,Ambessa,0.5,6
TOP,Gragas,Aatrox,0.45454545454545453,11
TOP,Aatrox,Gragas,0.5454545454545454,11
UTILITY,Thresh,Rell,0.5625,64
UTILITY,Rell,Thresh,0.4375,64
BOTTOM,Tristana,Lucian,0.5833333333333334,24
BOTTOM,Lucian,Tristana,0.4166666666666667,24
JUNGLE,MonkeyKing,Amumu,0.0,2
JUNGLE,Amumu,MonkeyKing,1.0,2
MIDDLE,Fizz,Darius,0.0,1
MIDDLE,Darius,Fizz,1.0,1
TOP,Ornn,Heimerdinger,0.5,4
TOP,Heimerdinger,Ornn,0.5,4
BOTTOM,Velkoz,Kaisa,0.6153846153846154,26
BOTTOM,Kaisa,Velkoz,0.38461538461538464,26
JUNGLE,Belveth,Graves,0.36363636363636365,22
JUNGLE,Graves,Belveth,0.6363636363636364,22
MIDDLE,Qiyana,Ahri,0.5,56
MIDDLE,Ahri,Qiyana,0.5,56
TOP,Ornn,Anivia,0.47058823529411764,17
TOP,Anivia,Ornn,0.5294117647058824,17
UTILITY,Bard,Poppy,0.45161290322580644,31
UTILITY,Poppy,Bard,0.5483870967741935,31
MIDDLE,Yasuo,Aurora,0.5555555555555556,36
MIDDLE,Aurora,Yasuo,0.4444444444444444,36
TOP,Sylas,Gragas,0.4444444444444444,9
TOP,Gragas,Sylas,0.5555555555555556,9
UTILITY,Rell,Lulu,0.4845360824742268,97
UTILITY,Lulu,Rell,0.5154639175257731,97
MIDDLE,Yone,Akali,0.38461538461538464,52
MIDDLE,Akali,Yone,0.6153846153846154,52
TOP,Jayce,Ambessa,0.4852941176470588,68
TOP,Ambessa,Jayce,0.5147058823529411,68
UTILITY,Leona,Braum,0.47674418604651164,86
UTILITY,Braum,Leona,0.5232558139534884,86
JUNGLE,Talon,Nocturne,0.5333333333333333,30
JUNGLE,Nocturne,Talon,0.4666666666666667,30
MIDDLE,Taliyah,Sylas,0.6,35
MIDDLE,Sylas,Taliyah,0.4,35
TOP,Gangplank,Jax,0.7,20
TOP,Jax,Gangplank,0.3,20
UTILITY,Seraphine,Nautilus,0.5272727272727272,110
UTILITY,Nautilus,Seraphine,0.4727272727272727,110
BOTTOM,Jinx,Ziggs,0.5555555555555556,9
BOTTOM,Ziggs,Jinx,0.4444444444444444,9
JUNGLE,LeeSin,Rengar,0.43636363636363634,55
JUNGLE,Rengar,LeeSin,0.5636363636363636,55
TOP,KSante,Gnar,0.3617021276595745,47
TOP,Gnar,KSante,0.6382978723404256,47
BOTTOM,Ziggs,Caitlyn,0.5238095238095238,42
BOTTOM,Caitlyn,Ziggs,0.47619047619047616,42
JUNGLE,Rengar,Graves,0.44642857142857145,56
JUNGLE,Graves,Rengar,0.5535714285714286,56
MIDDLE,Sion,Leblanc,0.5454545454545454,11
MIDDLE,Leblanc,Sion,0.45454545454545453,11
TOP,Gnar,Sylas,0.37037037037037035,27
TOP,Sylas,Gnar,0.6296296296296297,27
UTILITY,Pyke,Lux,0.7,10
UTILITY,Lux,Pyke,0.3,10
BOTTOM,Ezreal,Smolder,0.5207100591715976,169
BOTTOM,Smolder,Ezreal,0.47928994082840237,169
JUNGLE,Skarner,MonkeyKing,0.5555555555555556,9
JUNGLE,MonkeyKing,Skarner,0.4444444444444444,9
MIDDLE,Ambessa,Anivia,0.0,2
MIDDLE,Anivia,Ambessa,1.0,2
TOP,Teemo,Nasus,0.6666666666666666,3
TOP,Nasus,Teemo,0.3333333333333333,3
UTILITY,Braum,Rakan,0.4444444444444444,36
UTILITY,Rakan,Braum,0.5555555555555556,36
BOTTOM,Ashe,Velkoz,0.6111111111111112,18
BOTTOM,Velkoz,Ashe,0.3888888888888889,18
JUNGLE,MonkeyKing,Zac,1.0,1
JUNGLE,Zac,MonkeyKing,0.0,1
MIDDLE,Syndra,Yasuo,0.4444444444444444,36
MIDDLE,Yasuo,Syndra,0.5555555555555556,36
UTILITY,Bard,Camille,0.5128205128205128,39
UTILITY,Camille,Bard,0.48717948717948717,39
BOTTOM,Draven,Ezreal,0.4620253164556962,158
BOTTOM,Ezreal,Draven,0.5379746835443038,158
JUNGLE,LeeSin,Elise,0.36666666666666664,30
JUNGLE,Elise,LeeSin,0.6333333333333333,30
UTILITY,Renata,Rell,0.5909090909090909,22
UTILITY,Rell,Renata,0.4090909090909091,22
BOTTOM,Xayah,Seraphine,0.8333333333333334,6
BOTTOM,Seraphine,Xayah,0.16666666666666666,6
JUNGLE,Volibear,MonkeyKing,1.0,3
JUNGLE,MonkeyKing,Volibear,0.0,3
TOP,Varus,Ambessa,0.625,16
TOP,Ambessa,Varus,0.375,16
UTILITY,Bard,Rakan,0.4909090909090909,110
UTILITY,Rakan,Bard,0.509090909090909,110
BOTTOM,Corki,Smolder,0.5588235294117647,34
BOTTOM,Smolder,Corki,0.4411764705882353,34
JUNGLE,Elise,Graves,0.4722222222222222,36
JUNGLE,Graves,Elise,0.5277777777777778,36
MIDDLE,Akshan,Ambessa,0.6,5
MIDDLE,Ambessa,Akshan,0.4,5
TOP,Zac,Aurora,1.0,2
TOP,Aurora,Zac,0.0,2
UTILITY,Poppy,Thresh,0.6428571428571429,14
UTILITY,Thresh,Poppy,0.35714285714285715,14
BOTTOM,Caitlyn,Seraphine,0.3157894736842105,19
BOTTOM,Seraphine,Caitlyn,0.6842105263157895,19
JUNGLE,MonkeyKing,Belveth,0.6363636363636364,11
JUNGLE,Belveth,MonkeyKing,0.36363636363636365,11
MIDDLE,Leblanc,Corki,0.6666666666666666,3
MIDDLE,Corki,Leblanc,0.3333333333333333,3
TOP,Ambessa,Gragas,0.5,20
TOP,Gragas,Ambessa,0.5,20
BOTTOM,Caitlyn,Corki,0.4782608695652174,69
BOTTOM,Corki,Caitlyn,0.5217391304347826,69
JUNGLE,Belveth,Hecarim,0.625,16
JUNGLE,Hecarim,Belveth,0.375,16
MIDDLE,Orianna,Akali,0.4659090909090909,88
MIDDLE,Akali,Orianna,0.5340909090909091,88
TOP,KSante,Yasuo,0.5,18
TOP,Yasuo,KSante,0.5,18
BOTTOM,Corki,Xayah,0.5384615384615384,13
BOTTOM,Xayah,Corki,0.46153846153846156,13
JUNGLE,Nocturne,Viego,0.4411764705882353,34
JUNGLE,Viego,Nocturne,0.5588235294117647,34
MIDDLE,Galio,Akali,0.5294117647058824,51
MIDDLE,Akali,Galio,0.47058823529411764,51
TOP,Fiora,Darius,0.5555555555555556,18
TOP,Darius,Fiora,0.4444444444444444,18
UTILITY,Rell,TahmKench,0.5263157894736842,19
UTILITY,TahmKench,Rell,0.47368421052631576,19
BOTTOM,Varus,Corki,0.4482758620689655,29
BOTTOM,Corki,Varus,0.5517241379310345,29
TOP,KSante,Urgot,0.6470588235294118,17
TOP,Urgot,KSante,0.35294117647058826,17
BOTTOM,Jinx,Corki,0.6666666666666666,18
BOTTOM,Corki,Jinx,0.3333333333333333,18
JUNGLE,Elise,Khazix,0.7142857142857143,14
JUNGLE,Khazix,Elise,0.2857142857142857,14
MIDDLE,Yone,Ahri,0.4603174603174603,63
MIDDLE,Ahri,Yone,0.5396825396825397,63
TOP,Fiora,Singed,0.625,32
TOP,Singed,Fiora,0.375,32
UTILITY,Taric,Renata,0.6666666666666666,3
UTILITY,Renata,Taric,0.3333333333333333,3
JUNGLE,Kindred,Graves,0.4146341463414634,41
JUNGLE,Graves,Kindred,0.5853658536585366,41
MIDDLE,Xerath,Hwei,0.6,10
MIDDLE,Hwei,Xerath,0.4,10
UTILITY,Leona,Poppy,0.47058823529411764,17
UTILITY,Poppy,Leona,0.5294117647058824,17
BOTTOM,Varus,Draven,0.3333333333333333,33
BOTTOM,Draven,Varus,0.6666666666666666,33
JUNGLE,JarvanIV,Poppy,0.75,12
JUNGLE,Poppy,JarvanIV,0.25,12
MIDDLE,Aurora,Taliyah,0.42424242424242425,33
MIDDLE,Taliyah,Aurora,0.5757575757575758,33
TOP,Vladimir,Aatrox,0.6,10
TOP,Aatrox,Vladimir,0.4,10
BOTTOM,Velkoz,Draven,0.47619047619047616,21
BOTTOM,Draven,Velkoz,0.5238095238095238,21
JUNGLE,Vi,Ivern,0.5294117647058824,17
JUNGLE,Ivern,Vi,0.47058823529411764,17
